date,signal_date,assets,weights,gears,turnover_cost
2000-02-01,2000-01-31,['BIL'],{'BIL': 1.0},{'BIL': '1x'},0.0007
2000-03-01,2000-02-29,['BIL'],{'BIL': 1.0},{'BIL': '1x'},0.0
2000-04-03,2000-03-31,['BIL'],{'BIL': 1.0},{'BIL': '1x'},0.0
2000-05-01,2000-04-28,['BIL'],{'BIL': 1.0},{'BIL': '1x'},0.0
2000-06-01,2000-05-31,['BIL'],{'BIL': 1.0},{'BIL': '1x'},0.0
2000-07-03,2000-06-30,['BIL'],{'BIL': 1.0},{'BIL': '1x'},0.0
2000-08-01,2000-07-31,['BIL'],{'BIL': 1.0},{'BIL': '1x'},0.0
2000-09-01,2000-08-31,['BIL'],{'BIL': 1.0},{'BIL': '1x'},0.0
2000-10-02,2000-09-29,['BIL'],{'BIL': 1.0},{'BIL': '1x'},0.0
2000-11-01,2000-10-31,['BIL'],{'BIL': 1.0},{'BIL': '1x'},0.0
2000-12-01,2000-11-30,['BIL'],{'BIL': 1.0},{'BIL': '1x'},0.0
2001-01-01,2000-12-29,['BIL'],{'BIL': 1.0},{'BIL': '1x'},0.0
2001-02-01,2001-01-31,['BIL'],{'BIL': 1.0},{'BIL': '1x'},0.0
2001-03-01,2001-02-28,['BIL'],{'BIL': 1.0},{'BIL': '1x'},0.0
2001-04-02,2001-03-30,['BIL'],{'BIL': 1.0},{'BIL': '1x'},0.0
2001-05-01,2001-04-30,['BIL'],{'BIL': 1.0},{'BIL': '1x'},0.0
2001-06-01,2001-05-31,['BIL'],{'BIL': 1.0},{'BIL': '1x'},0.0
2001-07-02,2001-06-29,['BIL'],{'BIL': 1.0},{'BIL': '1x'},0.0
2001-08-01,2001-07-31,['BIL'],{'BIL': 1.0},{'BIL': '1x'},0.0
2001-09-03,2001-08-31,"['SOXL', 'GLD']","{'SOXL': 0.5, 'GLD': 0.5}","{'SOXL': '1x', 'GLD': '1x'}",0.0014
2001-10-01,2001-09-28,"['TQQQ', 'SOXL']","{'TQQQ': 0.5, 'SOXL': 0.5}","{'TQQQ': '1x', 'SOXL': '1x'}",0.0007
2001-11-01,2001-10-31,"['GLD', 'TQQQ']","{'GLD': 0.5, 'TQQQ': 0.5}","{'GLD': '1x', 'TQQQ': '1x'}",0.0007
2001-12-03,2001-11-30,"['IWM', 'TQQQ']","{'IWM': 0.5, 'TQQQ': 0.5}","{'IWM': '3x', 'TQQQ': '1x'}",0.0007
2002-01-01,2001-12-31,"['IWM', 'XLK']","{'IWM': 0.5, 'XLK': 0.5}","{'IWM': '3x', 'XLK': '2x'}",0.0007
2002-02-01,2002-01-31,"['IWM', 'XLK']","{'IWM': 0.5, 'XLK': 0.5}","{'IWM': '2x', 'XLK': '2x'}",0.0
2002-03-01,2002-02-28,"['IWM', 'BIL']","{'IWM': 0.5, 'BIL': 0.5}","{'IWM': '3x', 'BIL': '1x'}",0.0007
2002-04-01,2002-03-29,"['BIL', 'XLK']","{'BIL': 0.5, 'XLK': 0.5}","{'BIL': '1x', 'XLK': '1x'}",0.0007
2002-05-01,2002-04-30,['BIL'],{'BIL': 1.0},{'BIL': '1x'},0.0007
2002-06-03,2002-05-31,['BIL'],{'BIL': 1.0},{'BIL': '1x'},0.0
2002-07-01,2002-06-28,['BIL'],{'BIL': 1.0},{'BIL': '1x'},0.0
2002-08-01,2002-07-31,"['BIL', 'IEF']","{'BIL': 0.5, 'IEF': 0.5}","{'BIL': '1x', 'IEF': '1x'}",0.0007
2002-09-02,2002-08-30,"['BIL', 'UUP']","{'BIL': 0.5, 'UUP': 0.5}","{'BIL': '1x', 'UUP': '1x'}",0.0007
2002-10-01,2002-09-30,['BIL'],{'BIL': 1.0},{'BIL': '1x'},0.0007
2002-11-01,2002-10-31,['BIL'],{'BIL': 1.0},{'BIL': '1x'},0.0
2002-12-02,2002-11-29,"['QLD', 'BIL']","{'QLD': 0.5, 'BIL': 0.5}","{'QLD': '1x', 'BIL': '1x'}",0.0007
2003-01-01,2002-12-31,"['QLD', 'BIL']","{'QLD': 0.5, 'BIL': 0.5}","{'QLD': '1x', 'BIL': '1x'}",0.0
2003-02-03,2003-01-31,['BIL'],{'BIL': 1.0},{'BIL': '1x'},0.0007
2003-03-03,2003-02-28,['BIL'],{'BIL': 1.0},{'BIL': '1x'},0.0
2003-04-01,2003-03-31,['BIL'],{'BIL': 1.0},{'BIL': '1x'},0.0
2003-05-01,2003-04-30,"['QLD', 'BIL']","{'QLD': 0.5, 'BIL': 0.5}","{'QLD': '1x', 'BIL': '1x'}",0.0007
2003-06-02,2003-05-30,"['QLD', 'GLD']","{'QLD': 0.5, 'GLD': 0.5}","{'QLD': '1x', 'GLD': '1x'}",0.0007
2003-07-01,2003-06-30,"['QLD', 'TQQQ']","{'QLD': 0.5, 'TQQQ': 0.5}","{'QLD': '1x', 'TQQQ': '1x'}",0.0007
2003-08-01,2003-07-31,['BIL'],{'BIL': 1.0},{'BIL': '1x'},0.0014
2003-09-01,2003-08-29,['BIL'],{'BIL': 1.0},{'BIL': '1x'},0.0
2003-10-01,2003-09-30,['BIL'],{'BIL': 1.0},{'BIL': '1x'},0.0
2003-11-03,2003-10-31,['BIL'],{'BIL': 1.0},{'BIL': '1x'},0.0
2003-12-01,2003-11-28,['BIL'],{'BIL': 1.0},{'BIL': '1x'},0.0
2004-01-01,2003-12-31,['BIL'],{'BIL': 1.0},{'BIL': '1x'},0.0
2004-02-02,2004-01-30,['BIL'],{'BIL': 1.0},{'BIL': '1x'},0.0
2004-03-01,2004-02-27,['BIL'],{'BIL': 1.0},{'BIL': '1x'},0.0
2004-04-01,2004-03-31,"['QLD', 'XLK']","{'QLD': 0.5, 'XLK': 0.5}","{'QLD': '1x', 'XLK': '3x'}",0.0014
2004-05-03,2004-04-30,"['GLD', 'XLK']","{'GLD': 0.5, 'XLK': 0.5}","{'GLD': '1x', 'XLK': '3x'}",0.0007
2004-06-01,2004-05-31,"['GLD', 'TQQQ']","{'GLD': 0.5, 'TQQQ': 0.5}","{'GLD': '1x', 'TQQQ': '1x'}",0.0007
2004-07-01,2004-06-30,"['GLD', 'XLK']","{'GLD': 0.5, 'XLK': 0.5}","{'GLD': '1x', 'XLK': '2x'}",0.0007
2004-08-02,2004-07-30,"['GLD', 'XLK']","{'GLD': 0.5, 'XLK': 0.5}","{'GLD': '1x', 'XLK': '3x'}",0.0
2004-09-01,2004-08-31,"['GLD', 'XLK']","{'GLD': 0.5, 'XLK': 0.5}","{'GLD': '1x', 'XLK': '2x'}",0.0
2004-10-01,2004-09-30,"['GLD', 'XLK']","{'GLD': 0.5, 'XLK': 0.5}","{'GLD': '1x', 'XLK': '3x'}",0.0
2004-11-01,2004-10-29,"['GLD', 'XLK']","{'GLD': 0.5, 'XLK': 0.5}","{'GLD': '1x', 'XLK': '2x'}",0.0
2004-12-01,2004-11-30,['BIL'],{'BIL': 1.0},{'BIL': '1x'},0.0014
2005-01-03,2004-12-31,"['TQQQ', 'XLK']","{'TQQQ': 0.5, 'XLK': 0.5}","{'TQQQ': '1x', 'XLK': '2x'}",0.0014
2005-02-01,2005-01-31,"['TQQQ', 'XLK']","{'TQQQ': 0.5, 'XLK': 0.5}","{'TQQQ': '1x', 'XLK': '3x'}",0.0
2005-03-01,2005-02-28,"['TQQQ', 'XLK']","{'TQQQ': 0.5, 'XLK': 0.5}","{'TQQQ': '1x', 'XLK': '2x'}",0.0
2005-04-01,2005-03-31,"['TQQQ', 'XLK']","{'TQQQ': 0.5, 'XLK': 0.5}","{'TQQQ': '1x', 'XLK': '2x'}",0.0
2005-05-02,2005-04-29,"['XLK', 'SPY']","{'XLK': 0.5, 'SPY': 0.5}","{'XLK': '3x', 'SPY': '3x'}",0.0007
2005-06-01,2005-05-31,"['XLK', 'SPY']","{'XLK': 0.5, 'SPY': 0.5}","{'XLK': '3x', 'SPY': '2x'}",0.0
2005-07-01,2005-06-30,"['SPY', 'TLT']","{'SPY': 0.5, 'TLT': 0.5}","{'SPY': '3x', 'TLT': '1x'}",0.0007
2005-08-01,2005-07-29,"['SPY', 'TLT']","{'SPY': 0.5, 'TLT': 0.5}","{'SPY': '3x', 'TLT': '1x'}",0.0
2005-09-01,2005-08-31,"['TLT', 'IWM']","{'TLT': 0.5, 'IWM': 0.5}","{'TLT': '1x', 'IWM': '2x'}",0.0007
2005-10-03,2005-09-30,"['TLT', 'IWM']","{'TLT': 0.5, 'IWM': 0.5}","{'TLT': '1x', 'IWM': '2x'}",0.0
2005-11-01,2005-10-31,"['TLT', 'SPY']","{'TLT': 0.5, 'SPY': 0.5}","{'TLT': '1x', 'SPY': '3x'}",0.0007
2005-12-01,2005-11-30,"['SPY', 'IEF']","{'SPY': 0.5, 'IEF': 0.5}","{'SPY': '2x', 'IEF': '1x'}",0.0007
2005-12-30,2005-12-30,"['TQQQ', 'SPY']","{'TQQQ': 0.5, 'SPY': 0.5}","{'TQQQ': '1x', 'SPY': '2x'}",0.0007
